Municipal,County,Cases,Date
alexandria township,hunterdon county,9,may-8-2020
bethlehem township,hunterdon county,17,may-8-2020
bloomsbury,hunterdon county,5,may-8-2020
califon,hunterdon county,3,may-8-2020
clinton,hunterdon county,24,may-8-2020
clinton township,hunterdon county,59,may-8-2020
delaware township,hunterdon county,15,may-8-2020
east amwell township,hunterdon county,13,may-8-2020
flemington,hunterdon county,42,may-8-2020
franklin township,hunterdon county,12,may-8-2020
frenchtown,hunterdon county,6,may-8-2020
glen gardner,hunterdon county,4,may-8-2020
hampton,hunterdon county,8,may-8-2020
high bridge,hunterdon county,18,may-8-2020
holland township,hunterdon county,20,may-8-2020
kingwood township,hunterdon county,13,may-8-2020
lambertville,hunterdon county,21,may-8-2020
lebanon,hunterdon county,12,may-8-2020
lebanon township,hunterdon county,13,may-8-2020
milford,hunterdon county,3,may-8-2020
raritan township,hunterdon county,134,may-8-2020
readington township,hunterdon county,59,may-8-2020
stockton,hunterdon county,0,may-8-2020
tewksbury township,hunterdon county,18,may-8-2020
union township,hunterdon county,138,may-8-2020
west amwell township,hunterdon county,16,may-8-2020
east windsor township,mercer county,461,may-8-2020
ewing township,mercer county,431,may-8-2020
hamilton township,mercer county,"1,078",may-8-2020
hightstown,mercer county,111,may-8-2020
hopewell,mercer county,4,may-8-2020
hopewell township,mercer county,86,may-8-2020
lawrence township,mercer county,236,may-8-2020
pennington,mercer county,12,may-8-2020
princeton,mercer county,141,may-8-2020
robbinsville township,mercer county,72,may-8-2020
trenton,mercer county,"1,879",may-8-2020
west windsor township,mercer county,155,may-8-2020
carteret,middlesex county,575,may-8-2020
cranbury,middlesex county,38,may-8-2020
dunellen,middlesex county,163,may-8-2020
east brunswick,middlesex county,580,may-8-2020
edison,middlesex county,"1,580",may-8-2020
helmetta,middlesex county,32,may-8-2020
highland park,middlesex county,134,may-8-2020
jamesburg,middlesex county,107,may-8-2020
metuchen,middlesex county,107,may-8-2020
middlesex,middlesex county,200,may-8-2020
milltown,middlesex county,68,may-8-2020
monroe township,middlesex county,596,may-8-2020
new brunswick,middlesex county,"1,432",may-8-2020
north brunswick,middlesex county,758,may-8-2020
old bridge township,middlesex county,865,may-8-2020
perth amboy,middlesex county,"1,940",may-8-2020
piscataway,middlesex county,762,may-8-2020
plainsboro township,middlesex county,136,may-8-2020
sayreville,middlesex county,589,may-8-2020
south amboy,middlesex county,141,may-8-2020
south brunswick,middlesex county,416,may-8-2020
south plainfield,middlesex county,452,may-8-2020
south river,middlesex county,232,may-8-2020
spotswood,middlesex county,80,may-8-2020
woodbridge township,middlesex county,"1,649",may-8-2020
aberdeen township,monmouth county,198,may-8-2020
allenhurst,monmouth county,2,may-8-2020
allentown,monmouth county,6,may-8-2020
asbury park,monmouth county,154,may-8-2020
atlantic highlands,monmouth county,25,may-8-2020
avon-by-the-sea,monmouth county,13,may-8-2020
belmar,monmouth county,24,may-8-2020
bradley beach,monmouth county,35,may-8-2020
brielle,monmouth county,25,may-8-2020
colts neck township,monmouth county,68,may-8-2020
deal,monmouth county,23,may-8-2020
eatontown,monmouth county,211,may-8-2020
englishtown,monmouth county,36,may-8-2020
fair haven,monmouth county,22,may-8-2020
farmingdale,monmouth county,13,may-8-2020
freehold borough,monmouth county,332,may-8-2020
freehold township,monmouth county,572,may-8-2020
hazlet,monmouth county,248,may-8-2020
highlands,monmouth county,25,may-8-2020
holmdel township,monmouth county,211,may-8-2020
howell township,monmouth county,552,may-8-2020
interlaken,monmouth county,1,may-8-2020
keansburg,monmouth county,130,may-8-2020
keyport,monmouth county,78,may-8-2020
lake como,monmouth county,15,may-8-2020
little silver,monmouth county,32,may-8-2020
loch arbour,monmouth county,1,may-8-2020
long branch,monmouth county,395,may-8-2020
manalapan township,monmouth county,427,may-8-2020
manasquan,monmouth county,31,may-8-2020
marlboro township,monmouth county,400,may-8-2020
matawan,monmouth county,159,may-8-2020
middletown township,monmouth county,513,may-8-2020
millstone township,monmouth county,76,may-8-2020
monmouth beach,monmouth county,17,may-8-2020
neptune city,monmouth county,45,may-8-2020
neptune township,monmouth county,384,may-8-2020
ocean township,monmouth county,246,may-8-2020
oceanport,monmouth county,58,may-8-2020
red bank,monmouth county,153,may-8-2020
roosevelt,monmouth county,5,may-8-2020
rumson,monmouth county,31,may-8-2020
sea bright,monmouth county,9,may-8-2020
sea girt,monmouth county,13,may-8-2020
shrewsbury,monmouth county,46,may-8-2020
shrewsbury township,monmouth county,9,may-8-2020
spring lake,monmouth county,11,may-8-2020
spring lake heights,monmouth county,17,may-8-2020
tinton falls,monmouth county,166,may-8-2020
union beach,monmouth county,37,may-8-2020
upper freehold township,monmouth county,43,may-8-2020
wall township,monmouth county,257,may-8-2020
west long branch,monmouth county,57,may-8-2020
other,monmouth county,5,may-8-2020
bedminster,somerset county,34,may-8-2020
bernards township,somerset county,211,may-8-2020
bernardsville,somerset county,59,may-8-2020
bound brook,somerset county,253,may-8-2020
branchburg,somerset county,74,may-8-2020
bridgewater township,somerset county,407,may-8-2020
far hills,somerset county,3,may-8-2020
franklin township,somerset county,"1,057",may-8-2020
green brook township,somerset county,126,may-8-2020
hillsborough township,somerset county,261,may-8-2020
manville,somerset county,117,may-8-2020
millstone,somerset county,2,may-8-2020
montgomery,somerset county,92,may-8-2020
north plainfield,somerset county,275,may-8-2020
peapack and gladstone,somerset county,37,may-8-2020
raritan,somerset county,85,may-8-2020
rocky hill,somerset county,5,may-8-2020
somerville,somerset county,104,may-8-2020
south bound brook,somerset county,54,may-8-2020
warren township,somerset county,105,may-8-2020
watchung,somerset county,75,may-8-2020
berkeley heights,union county,179,may-8-2020
clark,union county,201,may-8-2020
cranford,union county,412,may-8-2020
elizabeth,union county,"4,123",may-8-2020
fanwood,union county,84,may-8-2020
garwood,union county,41,may-8-2020
hillside,union county,603,may-8-2020
kenilworth,union county,130,may-8-2020
linden,union county,"1,189",may-8-2020
mountainside,union county,60,may-8-2020
new providence,union county,132,may-8-2020
plainfield,union county,"1,856",may-8-2020
rahway,union county,625,may-8-2020
roselle,union county,566,may-8-2020
roselle park,union county,248,may-8-2020
